org_id,icnptso_code,icnptso_code_probability,icnptso_code_source
GB-COH-06315820,D13,0.931,ml_model
GB-COH-06315827,F20,0.961,ml_model
GB-COH-06316234,D13,1.0,ml_model
GB-COH-06316883,C12,0.972,ml_model
GB-COH-06316983,A21,0.635,ml_model
GB-COH-06317000,H10,0.698,ml_model
GB-COH-06317017,A22,0.992,ml_model
GB-COH-06317061,D19,0.955,ml_model
GB-COH-06317072,A22,0.992,ml_model
GB-COH-06317221,A22,0.992,ml_model
GB-COH-06318050,B31,0.977,ml_model
GB-COH-06318189,F20,1.0,ml_model
GB-COH-06318372,D19,0.303,ml_model
GB-COH-06319077,B31,0.879,ml_model
GB-COH-06319404,D33,0.903,ml_model
GB-COH-06319421,D11,0.575,ml_model
GB-COH-06321954,A90,0.298,ml_model
GB-COH-06322007,C12,1.0,ml_model
GB-COH-06322055,L50,1.0,ml_model
GB-COH-06322097,F20,0.796,ml_model
GB-COH-06322602,A11,1.0,ml_model
GB-COH-06325034,F20,0.4,ml_model
GB-COH-06326857,A11,1.0,ml_model
GB-COH-06327054,D14,0.851,ml_model
GB-COH-06329611,F20,0.985,ml_model
GB-COH-06330763,F20,0.999,ml_model
GB-COH-06331914,H90,0.978,ml_model
GB-COH-06333595,H90,0.456,ml_model
GB-COH-06333645,B31,0.95,ml_model
GB-COH-06335034,H10,0.396,ml_model
GB-COH-06335600,H90,0.754,ml_model
